movies,similar
My Best Fiend (Mein liebster Feind) (1999),"Trial, The (Procès, Le) (1962);Enigma of Kaspar Hauser, The (a.k.a. Mystery of Kaspar Hauser, The) (Jeder für sich und Gott Gegen Alle) (1974);I Am Cuba (Soy Cuba/Ya Kuba) (1964);American Friend, The (Amerikanische Freund, Der) (1977);Vagabond (Sans toit ni loi) (1985);Burden of Dreams (1982);Stroszek (1977);Two-Lane Blacktop (1971);Shadows (1959);Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)"
Train of Life (Train de vie) (1998),"Black Cat, White Cat (Crna macka, beli macor) (1998);Underground (1995);Celebration, The (Festen) (1998);Idiots, The (Idioterne) (1998);101 Reykjavik (101 Reykjavík) (2000);Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998);Arizona Dream (1993);Time of the Gypsies (Dom za vesanje) (1989);Million Dollar Hotel, The (2001);Kika (1993)"
"Bachelor, The (1999)","Drive Me Crazy (1999);Simply Irresistible (1999);Here on Earth (2000);She's All That (1999);Next Best Thing, The (2000);Mickey Blue Eyes (1999);Out-of-Towners, The (1999);Never Been Kissed (1999);Runaway Bride (1999);Where the Heart Is (2000)"
"Bone Collector, The (1999)","General's Daughter, The (1999);Double Jeopardy (1999);Instinct (1999);Stigmata (1999);Entrapment (1999);Astronaut's Wife, The (1999);What Lies Beneath (2000);Arlington Road (1999);Brokedown Palace (1999);End of Days (1999)"
"Insider, The (1999)","Malcolm X (1992);JFK (1991);Three Kings (1999);Straight Story, The (1999);Wonder Boys (2000);Magnolia (1999);Simple Plan, A (1998);Contender, The (2000);Spanish Prisoner, The (1997);Big Kahuna, The (2000)"
American Movie (1999),"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999);Hands on a Hard Body (1996);Filth and the Fury, The (2000);Hype! (1996);Big One, The (1997);Fast, Cheap & Out of Control (1997);Cruise, The (1998);Buffalo '66 (a.k.a. Buffalo 66) (1998);Jesus' Son (1999);American Pimp (1999)"
Last Night (1998),"Felicia's Journey (1999);With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000);Chuck & Buck (2000);Maelström (2000);Jesus' Son (1999);Twin Falls Idaho (1999);L.I.E. (2001);Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998);Five Senses, The (1999);Wonderland (1999)"
Rosetta (1999),"Taste of Cherry (Ta'm e guilass) (1997);Apple, The (Sib) (1998);Promise, The (La promesse) (1996);What Time Is It There? (Ni neibian jidian) (2001);Yi Yi (2000);Cyclo (Xich lo) (1995);After Life (Wandafuru raifu) (1998);Lovers on the Bridge, The (Amants du Pont-Neuf, Les) (1991);Ratcatcher (1999);Vagabond (Sans toit ni loi) (1985)"
"They Shoot Horses, Don't They? (1969)","Carnal Knowledge (1971);Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972);Coming Home (1978);Pawnbroker, The (1964);Klute (1971);On the Beach (1959);Marty (1955);Shampoo (1975);Bound for Glory (1976);Splendor in the Grass (1961)"
Bride of Re-Animator (1990),"Re-Animator (1985);Texas Chainsaw Massacre 2, The (1986);Night of the Creeps (1986);Funhouse, The (1981);Phantasm II (1988);Phantasm (1979);Pumpkinhead (1988);Cemetery Man (Dellamorte Dellamore) (1994);Piranha (1978);Howling, The (1980)"
Bustin' Loose (1981),"Back to School (1986);Gung Ho (1986);Meatballs (1979);Class (1983);Night Shift (1982);Hollywood Knights, The (1980);Young Doctors in Love (1982);Bachelor Party (1984);Soul Man (1986);Easy Money (1983)"
Coma (1978),"Eyes of Laura Mars (1978);Boys from Brazil, The (1978);Bedroom Window, The (1987);Stepford Wives, The (1975);52 Pick-Up (1986);Someone to Watch Over Me (1987);Extremities (1986);Airport (1970);Jagged Edge (1985);Odessa File, The (1974)"
Creepshow (1982),"Fright Night (1985);Monkey Shines (1988);Christine (1983);Phantasm (1979);Creepshow 2 (1987);Exorcist III, The (1990);House (1986);Pumpkinhead (1988);Gate, The (1987);Cat's Eye (1985)"
Creepshow 2 (1987),"Gate, The (1987);Friday the 13th Part 3: 3D (1982);Pumpkinhead (1988);Halloween II (1981);Nightmare on Elm Street 3: Dream Warriors, A (1987);Halloween 5: The Revenge of Michael Myers (1989);Puppet Master (1989);Halloween III: Season of the Witch (1982);Child's Play (1988);Nightmare on Elm Street 4: The Dream Master, A (1988)"
Re-Animator (1985),"Texas Chainsaw Massacre, The (1974);Bride of Re-Animator (1990);Near Dark (1987);Night of the Creeps (1986);Hellraiser (1987);Texas Chainsaw Massacre 2, The (1986);Return of the Living Dead, The (1985);Cemetery Man (Dellamorte Dellamore) (1994);Basket Case (1982);Night of the Living Dead (1968)"
Drugstore Cowboy (1989),"Sid and Nancy (1986);Stop Making Sense (1984);Decline of Western Civilization, The (1981);Mystery Train (1989);Falcon and the Snowman, The (1985);Birdy (1984);Dead Ringers (1988);Thin Blue Line, The (1988);She's Gotta Have It (1986);River's Edge (1986)"
Falling Down (1993),"8MM (1999);U Turn (1997);Very Bad Things (1998);Point Break (1991);Suicide Kings (1997);Adventures of Ford Fairlane, The (1990);Fallen (1998);Ronin (1998);Bound by Honor (a.k.a. Blood In, Blood Out) (1993);Way of the Gun, The (2000)"
"Funhouse, The (1981)","Halloween III: Season of the Witch (1982);Hell Night (1981);Texas Chainsaw Massacre 2, The (1986);Phantasm II (1988);Exorcist III, The (1990);Pumpkinhead (1988);Bride of Re-Animator (1990);Fog, The (1980);Night of the Creeps (1986);Dark Half, The (1993)"
"General, The (1926)","Gold Rush, The (1925);City Lights (1931);Grand Illusion (La grande illusion) (1937);Sullivan's Travels (1941);Modern Times (1936);Battleship Potemkin (1925);M (1931);Go West (1925);Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948);Children of Paradise (Les enfants du paradis) (1945)"
Piranha (1978),"Alligator (1980);Fog, The (1980);Funhouse, The (1981);Phantasm II (1988);Psycho II (1983);Gate, The (1987);Phantasm (1979);Howling, The (1980);Dark Half, The (1993);Halloween III: Season of the Witch (1982)"
"Taming of the Shrew, The (1967)","Barefoot in the Park (1967);Irma la Douce (1963);March of the Wooden Soldiers (a.k.a. Babes in Toyland) (1934);Pajama Game, The (1957);How I Won the War (1967);Daddy Long Legs (1919);Going My Way (1944);Hamlet (1964);Bell, Book and Candle (1958);Auntie Mame (1958)"
Nighthawks (1981),"Presidio, The (1988);Death Wish (1974);Heartbreak Ridge (1986);Towering Inferno, The (1974);Wanted: Dead or Alive (1987);Running Scared (1986);Tequila Sunrise (1988);Thunderbolt and Lightfoot (1974);No Mercy (1986);Force 10 from Navarone (1978)"
Yojimbo (1961),"Sanjuro (Tsubaki Sanjûrô) (1962);Kagemusha (1980);Rashomon (Rashômon) (1950);Seven Samurai (Shichinin no samurai) (1954);Hidden Fortress, The (Kakushi-toride no san-akunin) (1958);Ran (1985);Throne of Blood (Kumonosu jô) (1957);Red Beard (Akahige) (1965);Ikiru (1952);Stray Dog (Nora inu) (1949)"
Repossessed (1990),Harry and the Hendersons (1987);Police Academy 4: Citizens on Patrol (1987);Porky's Revenge (1985);Porky's II: The Next Day (1983);Stay Tuned (1992);Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997);Who's Harry Crumb? (1989);Police Academy 2: Their First Assignment (1985);Nothing But Trouble (1991);Haunted Honeymoon (1986)
"Omega Man, The (1971)","Soylent Green (1973);Westworld (1973);Logan's Run (1976);Beneath the Planet of the Apes (1970);War of the Worlds, The (1953);Saturn 3 (1980);Conquest of the Planet of the Apes (1972);Lifeforce (1985);Escape from the Planet of the Apes (1971);Them! (1954)"
Spaceballs (1987),Bill & Ted's Excellent Adventure (1989);UHF (1989);Ghostbusters II (1989);¡Three Amigos! (1986);Wayne's World 2 (1993);Airplane II: The Sequel (1982);Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993);Wayne's World (1992);History of the World: Part I (1981);Bill & Ted's Bogus Journey (1991)
Robin Hood (1973),"Great Mouse Detective, The (1986);Rescuers, The (1977);Sword in the Stone, The (1963);Rescuers Down Under, The (1990);Peter Pan (1953);Black Cauldron, The (1985);Muppet Christmas Carol, The (1992);Sleeping Beauty (1959);101 Dalmatians (One Hundred and One Dalmatians) (1961);Alice in Wonderland (1951)"
Mister Roberts (1955),"Stalag 17 (1953);Mutiny on the Bounty (1935);Run Silent Run Deep (1958);Captain Horatio Hornblower R.N. (1951);From Here to Eternity (1953);Cat Ballou (1965);In the Heat of the Night (1967);Big Country, The (1958);Night to Remember, A (1958);Quiet Man, The (1952)"
"Quest for Fire (Guerre du feu, La) (1981)","Emerald Forest, The (1985);Boys from Brazil, The (1978);Razor's Edge, The (1984);Runaway Train (1985);52 Pick-Up (1986);Pope of Greenwich Village, The (1984);Coogan's Bluff (1968);Falcon and the Snowman, The (1985);Coma (1978);It Came from Hollywood (1982)"
Little Big Man (1970),"Jeremiah Johnson (1972);Great Santini, The (1979);Hud (1963);Cat Ballou (1965);Mister Roberts (1955);Last Detail, The (1973);In the Heat of the Night (1967);Man Who Would Be King, The (1975);Breaker Morant (1980);Breaking Away (1979)"
"Face in the Crowd, A (1957)","Lost Weekend, The (1945);Crossfire (1947);Only Angels Have Wings (1939);Mildred Pierce (1945);Asphalt Jungle, The (1950);Bank Dick, The (1940);Grand Hotel (1932);All the King's Men (1949);Place in the Sun, A (1951);Strange Love of Martha Ivers, The (1946)"
Trading Places (1983),"Stripes (1981);Risky Business (1983);National Lampoon's Vacation (1983);Fletch (1985);Caddyshack (1980);Fast Times at Ridgemont High (1982);Parenthood (1989);Mr. Mom (1983);Planes, Trains & Automobiles (1987);Back to School (1986)"
Meatballs (1979),"Back to School (1986);Night Shift (1982);Easy Money (1983);Young Doctors in Love (1982);Bustin' Loose (1981);Man with Two Brains, The (1983);Class (1983);Bachelor Party (1984);Gung Ho (1986);Hollywood Knights, The (1980)"
Meatballs Part II (1984),"Meatballs III (1987);Porky's Revenge (1985);Armed and Dangerous (1986);Weekend at Bernie's (1989);Funny Farm (1988);Meatballs 4 (1992);Distinguished Gentleman, The (1992);Porky's II: The Next Day (1983);Major League: Back to the Minors (1998);Who's Harry Crumb? (1989)"
Meatballs III (1987),Meatballs Part II (1984);Porky's Revenge (1985);Porky's II: The Next Day (1983);Meatballs 4 (1992);Weekend at Bernie's (1989);Armed and Dangerous (1986);Private School (1983);Police Academy 2: Their First Assignment (1985);European Vacation (aka National Lampoon's European Vacation) (1985);Who's Harry Crumb? (1989)
Meatballs 4 (1992),Meatballs Part II (1984);Meatballs III (1987);Dead Man on Campus (1998);Senseless (1998);Chasers (1994);Booty Call (1997);Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997);House Party 2 (1991);Major League: Back to the Minors (1998);In the Army Now (1994)
Dead Again (1991),"Soapdish (1991);L.A. Story (1991);Peter's Friends (1992);Defending Your Life (1991);Cookie's Fortune (1999);Ideal Husband, An (1999);Next Stop Wonderland (1998);Commitments, The (1991);Spanish Prisoner, The (1997);Brassed Off (1996)"
Peter's Friends (1992),"Soapdish (1991);Cousin Bette (1998);Wilde (1997);Different for Girls (1996);Brassed Off (1996);For Roseanna (Roseanna's Grave) (1997);Tea with Mussolini (1999);Cosi (1996);Governess, The (1998);Big Tease, The (1999)"
"Incredibly True Adventure of Two Girls in Love, The (1995)","When Night Is Falling (1995);Party Girl (1995);Love! Valour! Compassion! (1997);Next Stop Wonderland (1998);Better Than Chocolate (1999);Clockwatchers (1997);Opposite of Sex, The (1998);My Life in Pink (Ma vie en rose) (1997);Pecker (1998);High Art (1998)"
Under the Rainbow (1981),"Young Doctors in Love (1982);Volunteers (1985);Soul Man (1986);Vibes (1988);My Chauffeur (1986);Haunted Honeymoon (1986);Burglar (1987);Gung Ho (1986);Devil and Max Devlin, The (1981);Tough Guys (1986)"
How I Won the War (1967),"Irma la Douce (1963);Tom Jones (1963);Twelve Chairs, The (1970);Shampoo (1975);Taming of the Shrew, The (1967);Ruling Class, The (1972);They Might Be Giants (1971);Pal Joey (1957);Help! (1965);They Shoot Horses, Don't They? (1969)"
Light It Up (1999),"Eight Days a Week (1997);Gossip (2000);Cool, Dry Place, A (1998);Next Best Thing, The (2000);Here on Earth (2000);Don't Tell Mom the Babysitter's Dead (1991);Best Men (1997);Anywhere But Here (1999);Kissing a Fool (1998);Hush (1998)"
Anywhere But Here (1999),"Deep End of the Ocean, The (1999);Next Best Thing, The (2000);Playing by Heart (1998);Best Man, The (1999);Brokedown Palace (1999);Love Letter, The (1999);Here on Earth (2000);Where the Heart Is (2000);Story of Us, The (1999);28 Days (2000)"
Dogma (1999),"Jay and Silent Bob Strike Back (2001);Mallrats (1995);Chasing Amy (1997);Clerks II (2006);Pleasantville (1998);SLC Punk! (1998);Empire Records (1995);Wayne's World (1992);Orgazmo (1997);South Park: Bigger, Longer and Uncut (1999)"
"Messenger: The Story of Joan of Arc, The (1999)","Stigmata (1999);Astronaut's Wife, The (1999);Instinct (1999);Jakob the Liar (1999);General's Daughter, The (1999);Eye of the Beholder (1999);13th Warrior, The (1999);Brokedown Palace (1999);Bone Collector, The (1999);Stir of Echoes (1999)"
Pokémon: The First Movie (1998),"We're Back! A Dinosaur's Story (1993);Little Nemo: Adventures in Slumberland (1992);Return of Jafar, The (1994);Pokémon the Movie 2000 (2000);Pagemaster, The (1994);All Dogs Go to Heaven (1989);Digimon: The Movie (2000);NeverEnding Story II: The Next Chapter, The (1990);Pokémon 3: The Movie (2001);American Tail: Fievel Goes West, An (1991)"
Felicia's Journey (1999),"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000);Wonderland (1999);Five Senses, The (1999);Twin Falls Idaho (1999);Limbo (1999);Four Days in September (O Que É Isso, Companheiro?) (1997);Love Is the Devil (1998);Time Code (2000);My Son the Fanatic (1997);Last Night (1998)"
Oxygen (1999),"Lawn Dogs (1997);Wisdom of Crocodiles, The (a.k.a. Immortality) (2000);Crime and Punishment in Suburbia (2000);Cherish (2002);Center of the World, The (2001);Business of Strangers, The (2001);Safety of Objects, The (2001);Panic (2000);In the Cut (2003);Man from Elysian Fields, The (2001)"
"Commitments, The (1991)","L.A. Story (1991);Waking Ned Devine (a.k.a. Waking Ned) (1998);Brassed Off (1996);Smoke Signals (1998);Fisher King, The (1991);Little Voice (1998);Full Monty, The (1997);Peter's Friends (1992);Moonstruck (1987);Player, The (1992)"
Holiday Inn (1942),"South Pacific (1958);Anchors Aweigh (1945);Guys and Dolls (1955);Funny Face (1957);Meet Me in St. Louis (1944);American in Paris, An (1951);King and I, The (1956);White Christmas (1954);Pajama Game, The (1957);Gigi (1958)"
"Longest Day, The (1962)","Tora! Tora! Tora! (1970);Guns of Navarone, The (1961);Dirty Dozen, The (1967);Bridge at Remagen, The (1969);Captain Horatio Hornblower R.N. (1951);Run Silent Run Deep (1958);Devil's Brigade, The (1968);Fighting Seabees, The (1944);Flying Tigers (1942);Pork Chop Hill (1959)"
Poison Ivy (1992),"Crush, The (1993);Single White Female (1992);Seventh Sign, The (1988);Color of Night (1994);Hand That Rocks the Cradle, The (1992);In Dreams (1999);Jerry Springer: Ringmaster (1998);Hush (1998);Class (1983);Blue Lagoon, The (1980)"
Poison Ivy: New Seduction (1997),"Crush, The (1993);Varsity Blues (1999);Surviving the Game (1994);Judgment Night (1993);Poison Ivy II (1996);Nothing to Lose (1994);Wild Things (1998);Color of Night (1994);Blue Chips (1994);Love Stinks (1999)"
Tora! Tora! Tora! (1970),"Longest Day, The (1962);Bridge at Remagen, The (1969);Guns of Navarone, The (1961);Devil's Brigade, The (1968);Dirty Dozen, The (1967);Eagle Has Landed, The (1976);Kelly's Heroes (1970);Run Silent Run Deep (1958);Von Ryan's Express (1965);Flying Tigers (1942)"
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) (1988),"Wings of Desire (Himmel über Berlin, Der) (1987);She's Gotta Have It (1986);Thirty-Two Short Films About Glenn Gould (1993);Buena Vista Social Club (1999);Tie Me Up! Tie Me Down! (¡Átame!) (1990);Diva (1981);All About My Mother (Todo sobre mi madre) (1999);Paris Is Burning (1990);Tampopo (1985);Red Sorghum (Hong gao liang) (1987)"
"Verdict, The (1982)","Great Santini, The (1979);Soldier's Story, A (1984);Body Heat (1981);Breaking Away (1979);Paper Chase, The (1973);Falcon and the Snowman, The (1985);Buddy Holly Story, The (1978);Coming Home (1978);Ordinary People (1980);Reds (1981)"
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)","They Shoot Horses, Don't They? (1969);Star Is Born, A (1937);Bound for Glory (1976);Suddenly, Last Summer (1959);Coming Home (1978);On the Beach (1959);Carmen (1984);Man with the Golden Arm, The (1955);Good Earth, The (1937);Splendor in the Grass (1961)"
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)","Time Bandits (1981);Logan's Run (1976);Navigator: A Mediaeval Odyssey, The (1988);Barbarella (1968);Repo Man (1984);Alien Nation (1988);Free Enterprise (1998);2010: The Year We Make Contact (1984);1984 (Nineteen Eighty-Four) (1984);Westworld (1973)"
Stand and Deliver (1988),"Natural, The (1984);Bamba, La (1987);Lucas (1986);Never Cry Wolf (1983);Lean on Me (1989);Children of a Lesser God (1986);My Bodyguard (1980);Stealing Home (1988);Little Man Tate (1991);Driving Miss Daisy (1989)"
Moonstruck (1987),"Big Chill, The (1983);Broadcast News (1987);Terms of Endearment (1983);Working Girl (1988);Peggy Sue Got Married (1986);Married to the Mob (1988);Prizzi's Honor (1985);Desperately Seeking Susan (1985);Dangerous Liaisons (1988);Heaven Can Wait (1978)"
"Sandpiper, The (1965)","Greatest Show on Earth, The (1952);Irma la Douce (1963);Love Is a Many-Splendored Thing (1955);Farewell to Arms, A (1932);Picnic (1955);Torn Curtain (1966);Topaz (1969);Barefoot in the Park (1967);Taming of the Shrew, The (1967);Airport (1970)"
